!23456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC12345678912345678912345678912345612345612312123     w  j  i  t
H           H                       H2                                               1.00E+00     0.00      0.0              0
H2          C2D+                    C2H2+       D                                    3.67E-10     0.00      0.0              5       !  1  2  2  1
D2          C2H+                    C2D2+       H                                    3.67E-10     0.00      0.0              5       !  1  1  1  2
D2          C2H+                    C2HD+       D                                    7.33E-10     0.00      0.0              5       !  2  2  1  2
HD          C2D+                    C2D2+       H                                    3.67E-10     0.00      0.0              5       !  1  1  2  2
HD          C2D+                    C2HD+       D                                    7.33E-10     0.00      0.0              5       !  2  2  2  2
D2          C2D+                    C2D2+       D                                    1.10E-09     0.00      0.0              5       !  1  1  1  3
H3O+        E-                      H2O         H                                    1.08E-07    -0.50      0.0              5
H2DO+       E-                      HDO         H                                    7.20E-08    -0.50      0.0              5       !  2  1  1  1
H2DO+       E-                      H2O         D                                    3.60E-08    -0.50      0.0              5       !  1  2  1  1
HD2O+       E-                      D2O         H                                    3.60E-08    -0.50      0.0              5       !  1  1  1  2
HD2O+       E-                      HDO         D                                    7.20E-08    -0.50      0.0              5       !  2  2  1  2
D3O+        E-                      D2O         D                                    1.08E-07    -0.50      0.0              5       !  1  1  1  3
He+         CO                      O           C+          He                       1.60E-09     0.00      0.0              5
H3+         CO                      HCO+        H2                                   1.70E-09     0.00      0.0              5
H2D+        CO                      DCO+        H2                                   5.67E-10     0.00      0.0              5       !  1  1  1  1
H2D+        CO                      HCO+        HD                                   1.13E-09     0.00      0.0              5       !  2  2  1  1
HD2+        CO                      DCO+        HD                                   1.13E-09     0.00      0.0              5       !  2  1  1  2
HD2+        CO                      HCO+        D2                                   5.67E-10     0.00      0.0              5       !  1  2  1  2
D3+         CO                      DCO+        D2                                   1.70E-09     0.00      0.0              5       !  1  1  1  3
CH2         O                       CO          H2                                   8.00E-11     0.00      0.0              5
CHD         O                       CO          HD                                   8.00E-11     0.00      0.0              5       !  2  1  1  1
CD2         O                       CO          D2                                   8.00E-11     0.00      0.0              5       !  1  1  1  2
C           HCO+                    CO          CH+                                  1.10E-09     0.00      0.0              5
C           DCO+                    CO          CD+                                  1.10E-09     0.00      0.0              5       !  1  1  1  1
HCO+        E-                      CO          H                                    2.40E-07    -0.69      0.0              5
DCO+        E-                      CO          D                                    2.40E-07    -0.69      0.0              5       !  1  1  1  1
CH3+        O                       HCO+        H2                                   4.00E-10     0.00      0.0              5
CH2D+       O                       DCO+        H2                                   1.33E-10     0.00      0.0              5       !  1  1  1  1
CH2D+       O                       HCO+        HD                                   2.67E-10     0.00      0.0              5       !  2  2  1  1
CHD2+       O                       DCO+        HD                                   2.67E-10     0.00      0.0              5       !  2  1  1  2
CHD2+       O                       HCO+        D2                                   1.33E-10     0.00      0.0              5       !  1  2  1  2
CD3+        O                       DCO+        D2                                   4.00E-10     0.00      0.0              5       !  1  1  1  3
H3+         H2O                     H3O+        H2                                   5.90E-09    -0.50      0.0              5
H2D+        H2O                     H2DO+       H2                                   3.54E-09    -0.50      0.0              5       !  3  1  1  1
H2D+        H2O                     H3O+        HD                                   2.36E-09    -0.50      0.0              5       !  2  2  1  1
H3+         HDO                     H2DO+       H2                                   3.54E-09    -0.50      0.0              5       !  3  1  2  1
H3+         HDO                     H3O+        HD                                   2.36E-09    -0.50      0.0              5       !  2  2  2  1
HD2+        H2O                     HD2O+       H2                                   1.77E-09    -0.50      0.0              5       !  3  1  1  2
HD2+        H2O                     H2DO+       HD                                   3.54E-09    -0.50      0.0              5       !  6  2  1  2
HD2+        H2O                     H3O+        D2                                   5.90E-10    -0.50      0.0              5       !  1  3  1  2
H2D+        HDO                     HD2O+       H2                                   1.77E-09    -0.50      0.0              5       !  3  1  2  2
H2D+        HDO                     H2DO+       HD                                   3.54E-09    -0.50      0.0              5       !  6  2  2  2
H2D+        HDO                     H3O+        D2                                   5.90E-10    -0.50      0.0              5       !  1  3  2  2
H3+         D2O                     HD2O+       H2                                   1.77E-09    -0.50      0.0              5       !  3  1  3  2
H3+         D2O                     H2DO+       HD                                   3.54E-09    -0.50      0.0              5       !  6  2  3  2
H3+         D2O                     H3O+        D2                                   5.90E-10    -0.50      0.0              5       !  1  3  3  2
D3+         H2O                     D3O+        H2                                   5.90E-10    -0.50      0.0              5       !  1  1  1  3
D3+         H2O                     HD2O+       HD                                   3.54E-09    -0.50      0.0              5       !  6  2  1  3
D3+         H2O                     H2DO+       D2                                   1.77E-09    -0.50      0.0              5       !  3  3  1  3
HD2+        HDO                     D3O+        H2                                   5.90E-10    -0.50      0.0              5       !  1  1  2  3
HD2+        HDO                     HD2O+       HD                                   3.54E-09    -0.50      0.0              5       !  6  2  2  3
HD2+        HDO                     H2DO+       D2                                   1.77E-09    -0.50      0.0              5       !  3  3  2  3
