C5N            0   0   0   0   0   0   5   1   0   0   0   0   0   0   0   0   0
C7H            0   0   0   1   0   0   7   0   0   0   0   0   0   0   0   0   0
C8             0   0   0   0   0   0   8   0   0   0   0   0   0   0   0   0   0
C7H2           0   0   0   2   0   0   7   0   0   0   0   0   0   0   0   0   0
C8H            0   0   0   1   0   0   8   0   0   0   0   0   0   0   0   0   0
CH3C6H         0   0   0   4   0   0   7   0   0   0   0   0   0   0   0   0   0
C8H2           0   0   0   2   0   0   8   0   0   0   0   0   0   0   0   0   0
C9             0   0   0   0   0   0   9   0   0   0   0   0   0   0   0   0   0
C7N            0   0   0   0   0   0   7   1   0   0   0   0   0   0   0   0   0
C9H            0   0   0   1   0   0   9   0   0   0   0   0   0   0   0   0   0
C10            0   0   0   0   0   0  10   0   0   0   0   0   0   0   0   0   0
C9N            0   0   0   0   0   0   9   1   0   0   0   0   0   0   0   0   0
CH2NH          0   0   0   3   0   0   1   1   0   0   0   0   0   0   0   0   0
CH3OH          0   0   0   4   0   0   1   0   1   0   0   0   0   0   0   0   0
SiN            0   0   0   0   0   0   0   1   0   1   0   0   0   0   0   0   0
HNSi           0   0   0   1   0   0   0   1   0   1   0   0   0   0   0   0   0
PN             0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   1   0
Si             0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0
P              0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0
HCS            0   0   0   1   0   0   1   0   0   0   1   0   0   0   0   0   0
PO             0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   1   0
C4N            0   0   0   0   0   0   4   1   0   0   0   0   0   0   0   0   0
HC5N           0   0   0   1   0   0   5   1   0   0   0   0   0   0   0   0   0
HC7N           0   0   0   1   0   0   7   1   0   0   0   0   0   0   0   0   0
HOCH           0   0   0   2   0   0   1   0   1   0   0   0   0   0   0   0   0
H2CS           0   0   0   2   0   0   1   0   0   0   1   0   0   0   0   0   0
CH3CHO         0   0   0   4   0   0   2   0   1   0   0   0   0   0   0   0   0
SiO            0   0   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0
H2SiO          0   0   0   2   0   0   0   0   1   1   0   0   0   0   0   0   0
SiH4           0   0   0   4   0   0   0   0   0   1   0   0   0   0   0   0   0
PH2            0   0   0   2   0   0   0   0   0   0   0   0   0   0   0   1   0
HCP            0   0   0   1   0   0   1   0   0   0   0   0   0   0   0   1   0
CH2PH          0   0   0   3   0   0   1   0   0   0   0   0   0   0   0   1   0
CCl            0   0   0   0   0   0   1   0   0   0   0   0   0   0   1   0   0
Cl             0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0
ClO            0   0   0   0   0   0   0   0   1   0   0   0   0   0   1   0   0
SiNC           0   0   0   0   0   0   1   1   0   1   0   0   0   0   0   0   0
SiC2           0   0   0   0   0   0   2   0   0   1   0   0   0   0   0   0   0
CCP            0   0   0   0   0   0   2   0   0   0   0   0   0   0   0   1   0
HC2P           0   0   0   1   0   0   2   0   0   0   0   0   0   0   0   1   0
SiC3           0   0   0   0   0   0   3   0   0   1   0   0   0   0   0   0   0
C3P            0   0   0   0   0   0   3   0   0   0   0   0   0   0   0   1   0
SiC4           0   0   0   0   0   0   4   0   0   1   0   0   0   0   0   0   0
C4P            0   0   0   0   0   0   4   0   0   0   0   0   0   0   0   1   0
CH3CH3         0   0   0   6   0   0   2   0   0   0   0   0   0   0   0   0   0
HCOOH          0   0   0   2   0   0   1   0   2   0   0   0   0   0   0   0   0
SiO2           0   0   0   0   0   0   0   0   2   1   0   0   0   0   0   0   0
NH2CN          0   0   0   2   0   0   1   2   0   0   0   0   0   0   0   0   0
C2S            0   0   0   0   0   0   2   0   0   0   1   0   0   0   0   0   0
C3S            0   0   0   0   0   0   3   0   0   0   1   0   0   0   0   0   0
C9H2           0   0   0   2   0   0   9   0   0   0   0   0   0   0   0   0   0
CH2CHCN        0   0   0   3   0   0   3   1   0   0   0   0   0   0   0   0   0
HC9N           0   0   0   1   0   0   9   1   0   0   0   0   0   0   0   0   0
SiC2H2         0   0   0   2   0   0   2   0   0   1   0   0   0   0   0   0   0
HeH+           1   0   0   1   0   1   0   0   0   0   0   0   0   0   0   0   0
He             0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0
H2+            1   0   0   2   0   0   0   0   0   0   0   0   0   0   0   0   0
CH+            1   0   0   1   0   0   1   0   0   0   0   0   0   0   0   0   0
C+             1   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0
H+             1   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0
CH2+           1   0   0   2   0   0   1   0   0   0   0   0   0   0   0   0   0
CH3+           1   0   0   3   0   0   1   0   0   0   0   0   0   0   0   0   0
CH4+           1   0   0   4   0   0   1   0   0   0   0   0   0   0   0   0   0
CH5+           1   0   0   5   0   0   1   0   0   0   0   0   0   0   0   0   0
H-            -1   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0
OH-           -1   0   0   1   0   0   0   0   1   0   0   0   0   0   0   0   0
C2+            1   0   0   0   0   0   2   0   0   0   0   0   0   0   0   0   0
