CH2DOD                              D2CO        H2                                  2.17E-18     0.00   1584.0    0.    0.  2     
CH2DOD                              H2CO        D2                                  2.17E-18     0.00   1584.0    0.    0.  2     
C+          CH2DOD                  DCO         CH2D+                               1.04E-09    -0.50      0.0    0.    0.  5     
CH2DOHD+    E-                      CH2DOD      H                                   8.01E-09    -0.59      0.0    0.    0.  5     
CH3OD2+     E-                      CH2DOD      H                                   8.01E-09    -0.59      0.0    0.    0.  5     
CHD2OH                              HDCO        HD                                  8.67E-18     0.00   1584.0    0.    0.  2     
CHD2OH                              OD          CH2D                                6.50E-18     0.00    752.0    0.    0.  2     
CHD2OH                              OH          CHD2                                6.50E-18     0.00    752.0    0.    0.  2     
CHD2OH                              CHD2OH+     E-                                  6.50E-18     0.00    717.5    0.    0.  2     
CHD2OH                              CH2DOD+     E-                                  6.50E-18     0.00    717.5    0.    0.  2     
CHD2OH                              H2CO        D2                                  2.17E-18     0.00   1584.0    0.    0.  2     
C+          CHD2OH                  DCO         CH2D+                               1.04E-09    -0.50      0.0    0.    0.  5     
CH2DOHD+    E-                      CHD2OH      H                                   8.01E-09    -0.59      0.0    0.    0.  5     
CH3OD2+     E-                      CHD2OH      H                                   8.01E-09    -0.59      0.0    0.    0.  5     
CHD2OD                              D2CO        HD                                  6.50E-18     0.00   1584.0    0.    0.  2     
CHD2OD                              HDCO        D2                                  6.50E-18     0.00   1584.0    0.    0.  2     
CHD2OD                              OD          CHD2                                9.75E-18     0.00    752.0    0.    0.  2     
CHD2OD                              CHD2OD+     E-                                  9.75E-18     0.00    717.5    0.    0.  2     
CHD2OD                              OH          CD3                                 3.25E-18     0.00    752.0    0.    0.  2     
CHD2OD                              CD3OH+      E-                                  3.25E-18     0.00    717.5    0.    0.  2     
C+          CHD2OD                  DCO         CHD2+                               1.56E-09    -0.50      0.0    0.    0.  5     
CHD2OHD+    E-                      CHD2OD      H                                   8.01E-09    -0.59      0.0    0.    0.  5     
CH2DOD2+    E-                      CHD2OD      H                                   8.01E-09    -0.59      0.0    0.    0.  5     
CD3OH                               D2CO        HD                                  6.50E-18     0.00   1584.0    0.    0.  2     
CD3OH                               HDCO        D2                                  6.50E-18     0.00   1584.0    0.    0.  2     
CD3OH                               OD          CHD2                                9.75E-18     0.00    752.0    0.    0.  2     
CD3OH                               CHD2OD+     E-                                  9.75E-18     0.00    717.5    0.    0.  2     
CD3OH                               OH          CD3                                 3.25E-18     0.00    752.0    0.    0.  2     
CD3OH                               CD3OH+      E-                                  3.25E-18     0.00    717.5    0.    0.  2     
C+          CD3OH                   DCO         CHD2+                               1.56E-09    -0.50      0.0    0.    0.  5     
CHD2OHD+    E-                      CD3OH       H                                   2.67E-09    -0.59      0.0    0.    0.  5     
CH2DOD2+    E-                      CD3OH       H                                   2.67E-09    -0.59      0.0    0.    0.  5     
CD3OD                               D2CO        D2                                  1.30E-17     0.00   1584.0    0.    0.  2     
CD3OD                               OD          CD3                                 1.30E-17     0.00    752.0    0.    0.  2     
CD3OD                               CD3OD+      E-                                  1.30E-17     0.00    717.5    0.    0.  2     
C+          CD3OD                   DCO         CD3+                                2.08E-09    -0.50      0.0    0.    0.  5     
CHD2OD2+    E-                      CD3OD       H                                   5.34E-09    -0.59      0.0    0.    0.  5     
CH3OH2+     E-                      H2CO        H2          H                       8.90E-07    -0.59      0.0    0.    0.  5     
CH3OH2+     E-                      CH3         OH          H                       4.54E-07    -0.59      0.0    0.    0.  5     
CH3OH2+     E-                      CH2         H2O         H                       1.87E-07    -0.59      0.0    0.    0.  5     
CH3OH2+     E-                      CH3         H2O                                 8.01E-08    -0.59      0.0    0.    0.  5     
CH3+        H2O                     CH3OH2+                                         5.50E-12    -1.70      0.0    0.  200.  5     
CH3OD2+     E-                      HDCO        HD          H                       3.56E-07    -0.59      0.0    0.    0.  5     
CH3OD2+     E-                      HDCO        H2          D                       1.78E-07    -0.59      0.0    0.    0.  5     
CH3OD2+     E-                      H2CO        HD          D                       1.78E-07    -0.59      0.0    0.    0.  5     
CH3OD2+     E-                      CHD2        OH          H                       1.36E-07    -0.59      0.0    0.    0.  5     
CH3OD2+     E-                      CH2D        OD          H                       1.36E-07    -0.59      0.0    0.    0.  5     
