 158  CH          CH3OH       CH3         H2CO                                 1.7662E-0007     2.49E-10     -1.93         0.0   5 A NN
 159  CH          O2H         O2          CH2                                  0.0000E+0000     2.94E-13      0.50      7550.0   5 C NN
 160  CH          O2H         HCO         OH                                   1.3535E-0142     1.44E-11      0.50      3000.0   5 C NN
 161  CH          CO2         HCO         CO                                   2.7634E-0144     2.94E-13      0.50      3000.0   5 C NN
 162  N           CH2         HCN         H                                    2.2156E-0011     3.95E-11      0.17         0.0   5 B NN
 163  N           CH2         HNC         H                                    2.2156E-0011     3.95E-11      0.17         0.0   5 B NN
 164  N           CH2         NH          CH                                   0.0000E+0000     9.96E-13      0.00     20380.0   5 B NN
 165  N           NH          N2          H                                    4.9800E-0011     4.98E-11      0.00         0.0   5 A NN
 166  N           CH3         HCN         H           H                        3.3200E-0013     3.32E-13      0.00         0.0   5 A NN
 167  N           CH3         HCN         H2                                   2.3735E-0012     1.30E-11      0.50         0.0   5 B NN
 168  N           CH3         H2CN        H                                    1.3194E-0011     7.40E-11      0.26         8.4   5 A NN
 169  N           OH          O           NH                                   0.0000E+0000     1.88E-11      0.10     10700.0   5 C NN
 170  N           OH          NO          H                                    1.3834E-0010     7.50E-11     -0.18         0.0   5 A NN
 171  N           OH          NO          H                                    0.0000E+0000     4.06E-11      0.05       -78.0   5 A NN
 172  N           C2          CN          C                                    5.0000E-0011     5.00E-11      0.00         0.0   5 C NN
 173  N           C2H         C2N         H                                    1.7000E-0011     1.70E-11      0.00         0.0   5 C NN
 174  N           CN          N2          C                                    3.0000E-0010     3.00E-10      0.00         0.0   5 C NN
 175  N           C2H3        CH2CN       H                                    6.2000E-0011     6.20E-11      0.00         0.0   5 C NN
 176  N           C2H3        C2H2        NH                                   1.2000E-0011     1.20E-11      0.00         0.0   5 C NN
 177  N           H2CN        HCN         NH                                   2.0612E-0019     1.00E-10      0.00       200.0   5 C NN
 178  N           HCO         HCN         O                                    1.7000E-0010     1.70E-10      0.00         0.0   5 C NN
 179  N           HCO         CO          NH                                   3.8782E-0056     5.71E-12      0.50      1000.0   5 C NN
 180  N           HCO         OCN         H                                    1.0000E-0010     1.00E-10      0.00         0.0   5 C NN
 181  N           C2H5        H2CN        CH3                                  3.8500E-0011     3.85E-11      0.00         0.0   5 C NN
 182  N           C2H5        C2H4        NH                                   7.1500E-0011     7.15E-11      0.00         0.0   5 C NN
 183  N           SiH         SiN         H                                    2.2545E-0010     1.66E-10     -0.09         0.0   5 C NN
