H2NC+       E-                      HNC         H                                   1.80E-07    -0.50      0.0   10.  300.  5 C DR
N           CH3+                    H2NC+       H                                   6.70E-11     0.00      0.0   10.41000.  5 A IN
H2          NH2+                    NH3+        H                                   2.70E-10     0.00      0.0   10.41000.  5 A IN
C           CH2CN                   HC3N        H                                   1.00E-10     0.00      0.0   10.  300.  5 C NN
N           C2H4+                   CH3CN+      H                                   3.00E-10     0.00      0.0   10.41000.  5 B IN
H2          CN+                     HCN+        H                                   1.00E-09     0.00      0.0   10.41000.  5 A IN
C           HS                      CS          H                                   1.00E-10     0.00      0.0   10.  300.  5 C NN
S           HS+                     HS          S+                                  9.70E-10     0.00      0.0   10.41000.  5 C CE
Mg          HS+                     HS          Mg+                                 2.60E-09     0.00      0.0   10.41000.  5 C CE
C           HS+                     CS+         H                                   9.90E-10     0.00      0.0   10.41000.  5 C IN
O           HS+                     S+          OH                                  2.90E-10     0.00      0.0   10.41000.  5 C IN
H3+         S                       HS+         H2                                  2.60E-09     0.00      0.0   10.41000.  5 C IN
N           HS+                     NS+         H                                   7.40E-10     0.00      0.0   10.41000.  5 C IN
NO+         E-                      O           N                                   4.30E-07    -0.37      0.0   10.  300.  5 A DR
N           OH+                     NO+         H                                   8.90E-10     0.00      0.0   10.41000.  5 C IN
C           H2S+                    HCS+        H                                   1.00E-09     0.00      0.0   10.41000.  5 C IN
O           H2S+                    HS+         OH                                  3.10E-10     0.00      0.0   10.41000.  5 C IN
N           CN                      N2          C                                   3.00E-10     0.00      0.0  298. 2500.  5 C NN
CH          N                       CN          H                                   1.66E-10    -0.09      0.0  222.  584.  5 A NN
N           C2O                     CN          CO                                  5.50E-10     0.00      0.0   10.  300.  5 C NN
C           H2C3H+                  C4H+        H2                                  1.00E-09     0.00      0.0   10.41000.  5 C IN
C           H2C3H+                  C4H2+       H                                   1.00E-09     0.00      0.0   10.41000.  5 C IN
H2          C3H+                    H2C3H+                                          1.69E-12    -1.00      0.0   10.  300.  5 A RA
C           C3H2+                   C4H+        H                                   1.00E-09     0.00      0.0   10.41000.  5 C IN
C           C3H2+                   C4+         H2                                  1.00E-09     0.00      0.0   10.41000.  5 C IN
C           C2H3+                   C3H2+       H                                   1.00E-09     0.00      0.0   10.41000.  5 C IN
H2          C2H2+                   C2H3+       H                                   1.00E-11     0.00      0.0   10.41000.  5 A IN
H2          C2H+                    C2H2+       H                                   1.10E-09     0.00      0.0   10.41000.  5 A IN
H3+         HC3N                    HC3NH+      H2                                  9.10E-09    -0.50      0.0   10.41000.  5 A IN
HC3NH+      E-                      HC3N        H                                   7.31E-07    -0.58      0.0   10.  300.  5 C DR
CH+         N                       CN+         H                                   1.90E-10     0.00      0.0   10.41000.  5 A IN
H3+         CS                      HCS+        H2                                  2.90E-09    -0.50      0.0   10.41000.  5 C IN
CH2         S                       CS          H2                                  1.00E-10     0.00      0.0   10.  300.  5 C NN
H3+         Mg                      Mg+         H2          H                       1.00E-09     0.00      0.0   10.41000.  5 C IN
H-          Mg+                     Mg          H                                   2.30E-07    -0.50      0.0   10.  300.  5 C II
H2          CS+                     HCS+        H                                   4.50E-10     0.00      0.0   10.41000.  5 B IN
HCS+        E-                      CH          S                                   7.87E-07    -0.57      0.0   10.  300.  5 A DR
O           HCS+                    OCS+        H                                   5.00E-12     0.00      0.0   10.41000.  5 C IN
CH3+        S                       HCS+        H2                                  1.40E-09     0.00      0.0   10.41000.  5 C IN
O           C2O                     CO          CO                                  8.59E-11     0.00      0.0  295.  295.  5 A NN
C           C2O                     C2          CO                                  2.00E-10     0.00      0.0   10.  300.  5 C NN
C           HCO                     C2O         H                                   1.00E-10     0.00      0.0   10.  300.  5 C NN
H2          C4H+                    C4H2+       H                                   1.65E-10     0.00      0.0   10.41000.  5 A IN
C           C4H2+                   C5+         H2                                  5.00E-10     0.00      0.0   10.  300.  5 C IN
C           C4H2+                   C5H+        H                                   5.00E-10     0.00      0.0   10.  300.  5 C IN
