!Grain reactions+++++++++++++++++++++++++++++++++++++++++++++++++++++++
! 2012-03-26 Mon 16:56:53
!   First completed version.
!   Some of the parameters for the H2 + OH and the deuteration and abstraction
!   reactions of H2CO and CH3OH may not be correcte and need to be tuned.
! 2011-05-27 Fri 13:19:22 DFJ
!   This is the surface network.
!   It contains five sections:
!     1. Adsorption of gas phase species.
!     2. Desorption of surface species.
!     3. Reactions on the grain surface.
!     4. Chemical desorption reactions, which is practically a subset of section 3, except the products are gas phase species.
!     5. Dissociation of surface species by cosmic ray induced photons.
!   The first two usually are not considered as surface reactions.
! Reference list:
!   HHL92: Hasegawa et al. 1992
!   ICet08: Ioppolo et al. 2008, ApJ, 686, 1474
!   ICet10: Ioppolo et al. 2010, PCCP, 12, 12065
!   CIRL10: Cuppen et al. 2010, PCCP,12, 12077
!   HH93: Hasegawa and Herbst 1993 MNRAS, 261, 83
!   GMet08: Goumans et al. 2008, MNRAS, 384, 1158 [also contains some desorption barrier data for other species]
!   RH01: Ruffle and Herbst 2001, MNRAS, 324, 1054 [interesting discussions]
!   TH82: Tielens and Hagen 1982, A&A, 114, 245
!   FCet09: Fuchs et al. 2009, A&A, 505, 629
!   ABet04: Atkinson et al. 2004, Atmos. Chem. Phys., 4, 1461
!   AR77: Allen and Robinson 1977, ApJ, 212, 396
!   KT05: Keane and Tielens 2005, ***
!   SH04: Stantcheva and Herbst 2004, ApJ, 423, 241
!   MCet09: Mokrane et al. 2009, ApJ, 705, 195
!   Woon02; n=3, QCISD*, Clust, ZPE: *4.1858/8.314
!   GWH08: Garrod et al. 2008
!----------------------------------------------------------------------
!++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
! 1. Adsorption of gaseous species.
!    74 reactions in total.
!23456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC12345678912345678912345678912345612345612312123
gO2D                                O2D                                              1.0                 1510.0             62
gH2O2                               H2O2                                             1.0                 2520.0             62      !HH93
gHDO2                               HDO2                                             1.0                 2520.0             62
gHCOOH                              HCOOH                                            1.0                 2570.0             62      !HH93
gDCOOH                              DCOOH                                            1.0                 2570.0             62
gHCOOD                              HCOOD                                            1.0                 2570.0             62
gDCOOD                              DCOOD                                            1.0                 2570.0             62
gCN                                 CN                                               1.0                 1510.0             62      !HH93
gHCN                                HCN                                              1.0                 1760.0             62      !HH93
gDCN                                DCN                                              1.0                 1760.0             62
gHNC                                HNC                                              1.0                 1760.0             62      !Est
gDNC                                DNC                                              1.0                 1760.0             62
gHNO                                HNO                                              1.0                 1510.0             62      !HH93
gDNO                                DNO                                              1.0                 1510.0             62
gS                                  S                                                1.0                 1100.0             62      !HHL92
gHS                                 HS                                               1.0                 1450.0             62      !Est
gDS                                 DS                                               1.0                 1450.0             62
gH2S                                H2S                                              1.0                 1550.0             62      !Est
gHDS                                HDS                                              1.0                 1550.0             62
gD2S                                D2S                                              1.0                 1550.0             62
!2012-04-10 Tue 00:11:37
! From mantle to surface.
!23456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC12345678912345678912345678912345612345612312123
mO                                  gO                                               1.0                                    65
mOH                                 gOH                                              1.0                                    65
mOD                                 gOD                                              1.0                                    65
mO2                                 gO2                                              1.0                                    65
mH2O                                gH2O                                             1.0                                    65
mHDO                                gHDO                                             1.0                                    65
mD2O                                gD2O                                             1.0                                    65
mCO                                 gCO                                              1.0                                    65
mHCO                                gHCO                                             1.0                                    65
mDCO                                gDCO                                             1.0                                    65
mH2CO                               gH2CO                                            1.0                                    65
mHDCO                               gHDCO                                            1.0                                    65
mD2CO                               gD2CO                                            1.0                                    65
mCH3OH                              gCH3OH                                           1.0                                    65
mCH2DOH                             gCH2DOH                                          1.0                                    65
mCHD2OH                             gCHD2OH                                          1.0                                    65
mCD3OH                              gCD3OH                                           1.0                                    65
mCH3OD                              gCH3OD                                           1.0                                    65
mCH2DOD                             gCH2DOD                                          1.0                                    65
mCHD2OD                             gCHD2OD                                          1.0                                    65
mCO2                                gCO2                                             1.0                                    65
mC                                  gC                                               1.0                                    65
mCH                                 gCH                                              1.0                                    65
mCD                                 gCD                                              1.0                                    65
mCH2                                gCH2                                             1.0                                    65
