!23456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC12345678912345678912345678912345612345612312123     w  j  i  t
H2DO+       E-                      HDO         H                                    7.20E-08    -0.50      0.0              5       !  2  1  1  1
H2DO+       E-                      H2O         D                                    3.60E-08    -0.50      0.0              5       !  1  2  1  1
HD2O+       E-                      D2O         H                                    3.60E-08    -0.50      0.0              5       !  1  1  1  2
HD2O+       E-                      HDO         D                                    7.20E-08    -0.50      0.0              5       !  2  2  1  2
D3O+        E-                      D2O         D                                    1.08E-07    -0.50      0.0              5       !  1  1  1  3
H2                                  H           H                                    1.30E-18     0.00      0.0              1
HD                                  D           H                                    1.30E-18     0.00      0.0              1       !  2  1  1  1
D2                                  D           D                                    1.30E-18     0.00      0.0              1       !  1  1  1  2
H2          C2H2+                   C2H3+       H                                    1.00E-11     0.00      0.0              5
HD          C2H2+                   C2H2D+      H                                    7.50E-12     0.00      0.0              5       !  3  1  1  1
HD          C2H2+                   C2H3+       D                                    2.50E-12     0.00      0.0              5       !  1  2  1  1
H2          C2HD+                   C2H2D+      H                                    7.50E-12     0.00      0.0              5       !  3  1  2  1
H2          C2HD+                   C2H3+       D                                    2.50E-12     0.00      0.0              5       !  1  2  2  1
D2          C2H2+                   C2HD2+      H                                    5.00E-12     0.00      0.0              5       !  3  1  1  2
D2          C2H2+                   C2H2D+      D                                    5.00E-12     0.00      0.0              5       !  3  2  1  2
HD          C2HD+                   C2HD2+      H                                    5.00E-12     0.00      0.0              5       !  3  1  2  2
HD          C2HD+                   C2H2D+      D                                    5.00E-12     0.00      0.0              5       !  3  2  2  2
H2          C2D2+                   C2HD2+      H                                    5.00E-12     0.00      0.0              5       !  3  1  3  2
H2          C2D2+                   C2H2D+      D                                    5.00E-12     0.00      0.0              5       !  3  2  3  2
D2          C2HD+                   C2D3+       H                                    2.50E-12     0.00      0.0              5       !  1  1  1  3
D2          C2HD+                   C2HD2+      D                                    7.50E-12     0.00      0.0              5       !  3  2  1  3
HD          C2D2+                   C2D3+       H                                    2.50E-12     0.00      0.0              5       !  1  1  2  3
HD          C2D2+                   C2HD2+      D                                    7.50E-12     0.00      0.0              5       !  3  2  2  3
D2          C2D2+                   C2D3+       D                                    1.00E-11     0.00      0.0              5       !  1  1  1  4
CH2         O                       HCO         H                                    5.01E-11     0.00      0.0              5
CHD         O                       DCO         H                                    2.51E-11     0.00      0.0              5       !  1  1  1  1
CHD         O                       HCO         D                                    2.51E-11     0.00      0.0              5       !  1  2  1  1
CD2         O                       DCO         D                                    5.01E-11     0.00      0.0              5       !  1  1  1  2
C           CH2                     C2H         H                                    1.00E-10     0.00      0.0              5
C           CHD                     C2D         H                                    5.00E-11     0.00      0.0              5       !  1  1  1  1
C           CHD                     C2H         D                                    5.00E-11     0.00      0.0              5       !  1  2  1  1
C           CD2                     C2D         D                                    1.00E-10     0.00      0.0              5       !  1  1  1  2
HCO+        E-                      CO          H                                    2.40E-07    -0.69      0.0              5
DCO+        E-                      CO          D                                    2.40E-07    -0.69      0.0              5       !  1  1  1  1
He+         CO                      O           C+          He                       1.60E-09     0.00      0.0              5
H3+         CO                      HCO+        H2                                   1.70E-09     0.00      0.0              5
H2D+        CO                      DCO+        H2                                   5.67E-10     0.00      0.0              5       !  1  1  1  1
H2D+        CO                      HCO+        HD                                   1.13E-09     0.00      0.0              5       !  2  2  1  1
HD2+        CO                      DCO+        HD                                   1.13E-09     0.00      0.0              5       !  2  1  1  2
HD2+        CO                      HCO+        D2                                   5.67E-10     0.00      0.0              5       !  1  2  1  2
D3+         CO                      DCO+        D2                                   1.70E-09     0.00      0.0              5       !  1  1  1  3
CH5+        CO                      HCO+        CH4                                  1.00E-09     0.00      0.0              5
CH4D+       CO                      DCO+        CH4                                  2.00E-10     0.00      0.0              5       !  1  1  1  1
CH4D+       CO                      HCO+        CH3D                                 8.00E-10     0.00      0.0              5       !  4  2  1  1
CH3D2+      CO                      DCO+        CH3D                                 4.00E-10     0.00      0.0              5       !  4  1  1  2
CH3D2+      CO                      HCO+        CH2D2                                6.00E-10     0.00      0.0              5       !  6  2  1  2
CH2D3+      CO                      DCO+        CH2D2                                6.00E-10     0.00      0.0              5       !  6  1  1  3
CH2D3+      CO                      HCO+        CHD3                                 4.00E-10     0.00      0.0              5       !  4  2  1  3
CHD4+       CO                      DCO+        CHD3                                 8.00E-10     0.00      0.0              5       !  4  1  1  4
CHD4+       CO                      HCO+        CD4                                  2.00E-10     0.00      0.0              5       !  1  2  1  4
CD5+        CO                      DCO+        CD4                                  1.00E-09     0.00      0.0              5       !  1  1  1  5
H3+         CO                      HOC+        H2                                   2.70E-11     0.00      0.0              5
H2D+        CO                      DOC+        H2                                   9.00E-12     0.00      0.0              5       !  1  1  1  1
H2D+        CO                      HOC+        HD                                   1.80E-11     0.00      0.0              5       !  2  2  1  1
HD2+        CO                      DOC+        HD                                   1.80E-11     0.00      0.0              5       !  2  1  1  2
HD2+        CO                      HOC+        D2                                   9.00E-12     0.00      0.0              5       !  1  2  1  2
D3+         CO                      DOC+        D2                                   2.70E-11     0.00      0.0              5       !  1  1  1  3
CH2         O                       CO          H2                                   8.00E-11     0.00      0.0              5
CHD         O                       CO          HD                                   8.00E-11     0.00      0.0              5       !  2  1  1  1
CD2         O                       CO          D2                                   8.00E-11     0.00      0.0              5       !  1  1  1  2
C           HCO+                    CO          CH+                                  1.10E-09     0.00      0.0              5
C           DCO+                    CO          CD+                                  1.10E-09     0.00      0.0              5       !  1  1  1  1
C           OH                      CO          H                                    1.00E-10     0.00      0.0              5
C           OD                      CO          D                                    1.00E-10     0.00      0.0              5       !  1  1  1  1
O           HCO                     CO          OH                                   5.00E-11     0.00      0.0              5
O           DCO                     CO          OD                                   5.00E-11     0.00      0.0              5       !  1  1  1  1
H3+         CO2                     HCO2+       H2                                   2.00E-09     0.00      0.0              5
H2D+        CO2                     DCO2+       H2                                   6.67E-10     0.00      0.0              5       !  1  1  1  1
H2D+        CO2                     HCO2+       HD                                   1.33E-09     0.00      0.0              5       !  2  2  1  1
HD2+        CO2                     DCO2+       HD                                   1.33E-09     0.00      0.0              5       !  2  1  1  2
HD2+        CO2                     HCO2+       D2                                   6.67E-10     0.00      0.0              5       !  1  2  1  2
D3+         CO2                     DCO2+       D2                                   2.00E-09     0.00      0.0              5       !  1  1  1  3
He+         CO2                     CO+         O           He                       8.70E-10     0.00      0.0              5
CO2                                 CO          O                                    1.30E-17     0.00    854.0              2
C+          CO2                     CO+         CO                                   1.10E-09     0.00      0.0              5
H+          CO2                     HCO+        O                                    3.50E-09     0.00      0.0              5
D+          CO2                     DCO+        O                                    3.50E-09     0.00      0.0              5       !  1  1  1  1
He+         CO2                     CO2+        He                                   1.21E-10     0.00      0.0              5
He+         CO2                     CO          O+          He                       1.00E-10     0.00      0.0              5
He+         CO2                     O2          C+          He                       4.00E-11     0.00      0.0              5
