HC3N           0   0   0   1   0   0   3   1   0   0   0   0   0   0   0   0   0   5.10000E+01   0.00E+00   0.00E+00        NaN
C4H3           0   0   0   3   0   0   4   0   0   0   0   0   0   0   0   0   0   5.10000E+01   0.00E+00   0.00E+00        NaN
HPO            0   0   0   1   0   0   0   0   1   0   0   0   0   0   0   1   0   4.80000E+01   0.00E+00   0.00E+00        NaN
C5             0   0   0   0   0   0   5   0   0   0   0   0   0   0   0   0   0   6.00000E+01   0.00E+00   0.00E+00        NaN
C3N            0   0   0   0   0   0   3   1   0   0   0   0   0   0   0   0   0   5.00000E+01   0.00E+00   0.00E+00        NaN
C5H            0   0   0   1   0   0   5   0   0   0   0   0   0   0   0   0   0   6.10000E+01   0.00E+00   0.00E+00        NaN
C3O            0   0   0   0   0   0   3   0   1   0   0   0   0   0   0   0   0   5.20000E+01   0.00E+00   0.00E+00        NaN
C5H2           0   0   0   2   0   0   5   0   0   0   0   0   0   0   0   0   0   6.20000E+01   0.00E+00   0.00E+00        NaN
C6             0   0   0   0   0   0   6   0   0   0   0   0   0   0   0   0   0   7.20000E+01   0.00E+00   0.00E+00        NaN
C6H            0   0   0   1   0   0   6   0   0   0   0   0   0   0   0   0   0   7.30000E+01   0.00E+00   0.00E+00        NaN
CH3C4H         0   0   0   4   0   0   5   0   0   0   0   0   0   0   0   0   0   6.40000E+01   0.00E+00   0.00E+00        NaN
C6H2           0   0   0   2   0   0   6   0   0   0   0   0   0   0   0   0   0   7.40000E+01   0.00E+00   0.00E+00        NaN
SO2            0   0   0   0   0   0   0   0   2   0   1   0   0   0   0   0   0   6.40000E+01   0.00E+00   0.00E+00        NaN
C7             0   0   0   0   0   0   7   0   0   0   0   0   0   0   0   0   0   8.40000E+01   0.00E+00   0.00E+00        NaN
C5N            0   0   0   0   0   0   5   1   0   0   0   0   0   0   0   0   0   7.40000E+01   0.00E+00   0.00E+00        NaN
C7H            0   0   0   1   0   0   7   0   0   0   0   0   0   0   0   0   0   8.50000E+01   0.00E+00   0.00E+00        NaN
C8             0   0   0   0   0   0   8   0   0   0   0   0   0   0   0   0   0   9.60000E+01   0.00E+00   0.00E+00        NaN
C7H2           0   0   0   2   0   0   7   0   0   0   0   0   0   0   0   0   0   8.60000E+01   0.00E+00   0.00E+00        NaN
C8H            0   0   0   1   0   0   8   0   0   0   0   0   0   0   0   0   0   9.70000E+01   0.00E+00   0.00E+00        NaN
CH3C6H         0   0   0   4   0   0   7   0   0   0   0   0   0   0   0   0   0   8.80000E+01   0.00E+00   0.00E+00        NaN
C8H2           0   0   0   2   0   0   8   0   0   0   0   0   0   0   0   0   0   9.80000E+01   0.00E+00   0.00E+00        NaN
C9             0   0   0   0   0   0   9   0   0   0   0   0   0   0   0   0   0   1.08000E+02   0.00E+00   0.00E+00        NaN
C7N            0   0   0   0   0   0   7   1   0   0   0   0   0   0   0   0   0   9.80000E+01   0.00E+00   0.00E+00        NaN
C9H            0   0   0   1   0   0   9   0   0   0   0   0   0   0   0   0   0   1.09000E+02   0.00E+00   0.00E+00        NaN
C10            0   0   0   0   0   0  10   0   0   0   0   0   0   0   0   0   0   1.20000E+02   0.00E+00   0.00E+00        NaN
C9N            0   0   0   0   0   0   9   1   0   0   0   0   0   0   0   0   0   1.22000E+02   0.00E+00   0.00E+00        NaN
CH2NH          0   0   0   3   0   0   1   1   0   0   0   0   0   0   0   0   0   2.90000E+01   0.00E+00   0.00E+00        NaN
CH3OH          0   0   0   4   0   0   1   0   1   0   0   0   0   0   0   0   0   3.20000E+01   0.00E+00   0.00E+00        NaN
SiN            0   0   0   0   0   0   0   1   0   1   0   0   0   0   0   0   0   4.20000E+01   0.00E+00   0.00E+00        NaN
HNSi           0   0   0   1   0   0   0   1   0   1   0   0   0   0   0   0   0   4.30000E+01   0.00E+00   0.00E+00        NaN
PN             0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   1   0   4.50000E+01   0.00E+00   0.00E+00        NaN
