  75  C           CN                      C2          N                                        0.0000E+00   1.00E+00   4.98E-10       0.00   18116.00      60.30   5
  76  C           C2H2                    C3          H2                                       4.5992E-24   1.00E+00   1.45E-10      -0.12       0.00       1.00   5
  77  C           C2H2                    C3H         H                                        4.5992E-24   1.00E+00   1.45E-10      -0.12       0.00       1.50   5
  78  C           C2H3                    C3H2        H                                        2.2919E-24   1.00E+00   1.00E-10       0.00       0.00       1.00   5
  79  C           CO                      C2          O                                        0.0000E+00   1.00E+00   2.94E-11       0.50   58025.00     193.40   5
  80  C           N2                      CN          N                                        0.0000E+00   1.00E+00   8.69E-11       0.00   22600.00     200.00   5
  81  C           H2CN                    C2N         H2                                       4.5837E-24   1.00E+00   2.00E-10       0.00       0.00       1.00   5
  82  C           C2H4                    C3H3        H                                        9.2614E-24   1.00E+00   3.00E-10      -0.11       0.00       1.50   5
  83  C           HCO                     CO          CH                                       2.2919E-24   1.00E+00   1.00E-10       0.00       0.00       1.00   5
  84  C           HCO                     C2O         H                                        2.2919E-24   1.00E+00   1.00E-10       0.00       0.00       1.00   5
  85  C           SiH                     SiC         H                                        1.5103E-24   1.00E+00   6.59E-11       0.00       0.00       1.00   5
  86  C           C2H5                    CH3CCH      H                                        4.5837E-24   1.00E+00   2.00E-10       0.00       0.00       1.00   5
  87  C           NO                      CN          O                                        2.1209E-24   1.00E+00   6.00E-11      -0.16       0.00       1.00   5
  88  C           NO                      CO          N                                        2.0627E-24   1.00E+00   9.00E-11       0.00       0.00      30.00   5
  89  C           SiH2                    HCSi        H                                        2.2919E-24   1.00E+00   1.00E-10       0.00       0.00       1.00   5
  90  C           SiH3                    SiCH2       H                                        2.2919E-24   1.00E+00   1.00E-10       0.00       0.00       1.00   5
  91  C           PH                      CP          H                                        1.7189E-24   1.00E+00   7.50E-11       0.00       0.00       1.00   5
  92  C           O2                      CO          O                                        2.7049E-24   1.00E+00   4.70E-11      -0.34       0.00       1.00   5
  93  C           O2                      CO          O                                        1.7971E-14   1.00E+00   2.48E-12       1.54    -613.00      29.50   5
  94  C           HS                      S           CH                                       1.1876-153   1.00E+00   1.20E-11       0.58    5880.00      19.60   5
  95  C           HS                      CS          H                                        2.2919E-24   1.00E+00   1.00E-10       0.00       0.00       1.00   5
  96  C           C3H                     C4          H                                        2.2919E-24   1.00E+00   1.00E-10       0.00       0.00       1.00   5
  97  C           C3H2                    C4H         H                                        2.2919E-24   1.00E+00   1.00E-10       0.00       0.00       1.00   5
  98  C           H2CCC                   C4H         H                                        2.2919E-24   1.00E+00   1.00E-10       0.00       0.00       1.00   5
  99  C           C2N                     C2          CN                                       2.2919E-24   1.00E+00   1.00E-10       0.00       0.00       1.00   5
 100  C           C3H3                    H2CCCC      H                                        2.2919E-24   1.00E+00   1.00E-10       0.00       0.00       1.00   5
 101  C           C2O                     C2          CO                                       4.5837E-24   1.00E+00   2.00E-10       0.00       0.00       1.00   5
 102  C           CH2CN                   HC3N        H                                        2.2919E-24   1.00E+00   1.00E-10       0.00       0.00       1.00   5
 103  C           CH3CCH                  C4H3        H                                        8.3353E-24   1.00E+00   2.70E-10      -0.11       0.00       1.00   5
 104  C           OCN                     CO          CN                                       2.2919E-24   1.00E+00   1.00E-10       0.00       0.00       1.00   5
 105  C           CS                      S           C2                                       0.0000E+00   1.00E+00   1.44E-11       0.50   20435.00      68.10   5
 106  C           NS                      S           CN                                       5.3022E-24   1.00E+00   1.50E-10      -0.16       0.00       1.00   5
 107  C           NS                      CS          N                                        1.4167-112   1.00E+00   1.73E-11       0.50    4000.00      13.30   5
 108  C           HPO                     PH          CO                                       9.1674E-25   1.00E+00   4.00E-11       0.00       0.00       1.00   5
 109  C           SO                      S           CO                                       8.0215E-25   1.00E+00   3.50E-11       0.00       0.00       1.00   5
 110  C           SO                      CS          O                                        8.0215E-25   1.00E+00   3.50E-11       0.00       0.00       1.00   5
 111  C           C4                      C2          C3                                       2.2919E-27   1.00E+00   1.00E-13       0.00       0.00       1.00   5
 112  C           C4H                     C5          H                                        2.2919E-24   1.00E+00   1.00E-10       0.00       0.00       1.00   5
 113  C           C3N                     C3          CN                                       2.2919E-27   1.00E+00   1.00E-13       0.00       0.00       1.00   5
 114  C           H2CCCC                  C5H         H                                        1.4897E-23   1.00E+00   6.50E-10       0.00       0.00       1.00   5
 115  C           C3O                     C3          CO                                       2.2919E-24   1.00E+00   1.00E-10       0.00       0.00       1.00   5
 116  C           C4H3                    C5H2        H                                        6.8756E-24   1.00E+00   3.00E-10       0.00       0.00       1.00   5
 117  C           NCCN                    CN          C2N                                      6.8756E-25   1.00E+00   3.00E-11       0.00       0.00      30.00   5
 118  C           C5H                     C6          H                                        2.2919E-24   1.00E+00   1.00E-10       0.00       0.00       1.00   5
 119  C           C5H2                    C6H         H                                        1.2147E-23   1.00E+00   5.30E-10       0.00       0.00       1.00   5
 120  C           CH3C4H                  C6H2        H2                                       1.4897E-23   1.00E+00   6.50E-10       0.00       0.00       1.00   5
 121  C           SO2                     CO          SO                                       1.6043E-24   1.00E+00   7.00E-11       0.00       0.00       1.00   5
 122  C           S2                      CS          S                                        1.6043E-24   1.00E+00   7.00E-11       0.00       0.00       1.00   5
 123  C           C6                      C2          C5                                       2.2919E-27   1.00E+00   1.00E-13       0.00       0.00       1.00   5
 124  C           C6H                     C7          H                                        4.5837E-24   1.00E+00   2.00E-10       0.00       0.00       1.00   5
 125  C           C5N                     C5          CN                                       2.2919E-27   1.00E+00   1.00E-13       0.00       0.00       1.00   5
 126  C           C6H2                    C7H         H                                        1.6960E-23   1.00E+00   7.40E-10       0.00       0.00       1.00   5
 127  C           C7H                     C8          H                                        4.5837E-24   1.00E+00   2.00E-10       0.00       0.00       1.00   5
 128  C           C7H2                    C8H         H                                        1.9252E-23   1.00E+00   8.40E-10       0.00       0.00       1.00   5
 129  C           CH3C6H                  C8H2        H2                                       1.1570E-23   1.00E+00   8.00E-10       0.17       0.00       1.00   5
 130  C           C8                      C2          C7                                       2.2919E-27   1.00E+00   1.00E-13       0.00       0.00       1.00   5
 131  C           C8H                     C9          H                                        4.5837E-24   1.00E+00   2.00E-10       0.00       0.00       1.00   5
 132  C           C7N                     C7          CN                                       2.2919E-27   1.00E+00   1.00E-13       0.00       0.00       1.00   5
 133  C           C8H2                    C9H         H                                        2.0627E-23   1.00E+00   9.00E-10       0.00       0.00       1.00   5
 134  C           C9H                     C10         H                                        4.5837E-24   1.00E+00   2.00E-10       0.00       0.00       1.00   5
 135  C           C9N                     C9          CN                                       2.2919E-27   1.00E+00   1.00E-13       0.00       0.00       1.00   5
 136  CH          N                       NH          C                                        7.3705E-52   1.00E+00   3.03E-11       0.65    1207.00      99.00   5
 137  CH          N                       CN          H                                        4.8545E-24   1.00E+00   1.66E-10      -0.09       0.00      22.20   5
 138  CH          O                       OH          C                                        1.1451E-76   1.00E+00   2.52E-11       0.00    2381.00       1.00   5
